rows,direction,part,of,file,start,end,pass,varietal,scanid
38,dir2,1,1,2017-08-31_12-45_22005521_12_58.tar.gz,780.3,814.95,1,cabernet sauvignon,2017-08-31_12-45
40,dir1,1,2,2017-08-31_12-45_22005521_12_58.tar.gz,820.1,826.95,1,cabernet sauvignon,2017-08-31_12-45
40,dir1,2,2,2017-08-31_12-45_22005521_12_59.tar.gz,827,833.7,1,cabernet sauvignon,2017-08-31_12-45
40,dir2,1,1,2017-08-31_12-45_22005521_12_59.tar.gz,838.2,864.8,1,cabernet sauvignon,2017-08-31_12-45
42,dir1,1,1,2017-08-31_12-45_22005521_12_59.tar.gz,870.95,880.25,1,cabernet sauvignon,2017-08-31_12-45
42,dir2,1,2,2017-08-31_12-45_22005521_12_59.tar.gz,885.1,886.8,1,cabernet sauvignon,2017-08-31_12-45
42,dir2,2,2,2017-08-31_12-45_22005521_13_00.tar.gz,886.85,909.05,1,cabernet sauvignon,2017-08-31_12-45
44,dir1,1,1,2017-08-31_12-45_22005521_13_00.tar.gz,913.8,925.35,1,cabernet sauvignon,2017-08-31_12-45
44,dir2,1,2,2017-08-31_12-45_22005521_13_00.tar.gz,930,946.9,1,cabernet sauvignon,2017-08-31_12-45
44,dir2,2,2,2017-08-31_12-45_22005521_13_01.tar.gz,946.95,955.75,1,cabernet sauvignon,2017-08-31_12-45
46,dir1,1,1,2017-08-31_12-45_22005521_13_01.tar.gz,972.8,997.25,1,cabernet sauvignon,2017-08-31_12-45
46,dir2,1,2,2017-08-31_12-45_22005521_13_01.tar.gz,1001.85,1006.15,1,cabernet sauvignon,2017-08-31_12-45
46,dir2,2,2,2017-08-31_12-45_22005521_13_02.tar.gz,1006.2,1053.35,1,cabernet sauvignon,2017-08-31_12-45
17,dir1,1,1,2017-08-31_12-45_22179667_12_45.tar.gz,4.15,39.7,1,cabernet sauvignon,2017-08-31_12-45
17,dir2,1,2,2017-08-31_12-45_22179667_12_45.tar.gz,45.5,47.7,1,cabernet sauvignon,2017-08-31_12-45
17,dir2,2,2,2017-08-31_12-45_22179667_12_46.tar.gz,47.75,76.35,1,cabernet sauvignon,2017-08-31_12-45
19,dir1,1,2,2017-08-31_12-45_22179667_12_46.tar.gz,81.25,107.7,1,cabernet sauvignon,2017-08-31_12-45
19,dir1,2,2,2017-08-31_12-45_22179667_12_47.tar.gz,107.75,119.45,1,cabernet sauvignon,2017-08-31_12-45
19,dir2,1,1,2017-08-31_12-45_22179667_12_47.tar.gz,126.05,151.35,1,cabernet sauvignon,2017-08-31_12-45
21,dir1,1,2,2017-08-31_12-45_22179667_12_47.tar.gz,155.75,166.1,1,cabernet sauvignon,2017-08-31_12-45
21,dir1,2,2,2017-08-31_12-45_22179667_12_48.tar.gz,166.15,191.5,1,cabernet sauvignon,2017-08-31_12-45
21,dir2,1,2,2017-08-31_12-45_22179667_12_48.tar.gz,197.85,227.3,1,cabernet sauvignon,2017-08-31_12-45
21,dir2,2,2,2017-08-31_12-45_22179667_12_49.tar.gz,227.35,229.45,1,cabernet sauvignon,2017-08-31_12-45
23,dir1,1,1,2017-08-31_12-45_22179667_12_49.tar.gz,233.8,270.2,1,cabernet sauvignon,2017-08-31_12-45
23,dir2,1,2,2017-08-31_12-45_22179667_12_49.tar.gz,276.85,287.15,1,cabernet sauvignon,2017-08-31_12-45
23,dir2,2,2,2017-08-31_12-45_22179667_12_50.tar.gz,287.2,301.35,1,cabernet sauvignon,2017-08-31_12-45
25,dir1,1,1,2017-08-31_12-45_22179667_12_50.tar.gz,305.75,342.95,1,cabernet sauvignon,2017-08-31_12-45
25,dir2,1,1,2017-08-31_12-45_22179667_12_51.tar.gz,349.35,373.3,1,cabernet sauvignon,2017-08-31_12-45
27,dir1,1,2,2017-08-31_12-45_22179667_12_51.tar.gz,377.75,406.75,1,cabernet sauvignon,2017-08-31_12-45
27,dir1,2,2,2017-08-31_12-45_22179667_12_52.tar.gz,406.8,411.7,1,cabernet sauvignon,2017-08-31_12-45
27,dir2,1,1,2017-08-31_12-45_22179667_12_52.tar.gz,418.75,443.95,1,cabernet sauvignon,2017-08-31_12-45
29,dir1,1,2,2017-08-31_12-45_22179667_12_52.tar.gz,448.35,466.75,1,cabernet sauvignon,2017-08-31_12-45
29,dir1,2,2,2017-08-31_12-45_22179667_12_53.tar.gz,466.8,483.75,1,cabernet sauvignon,2017-08-31_12-45
29,dir2,1,1,2017-08-31_12-45_22179667_12_53.tar.gz,489.9,512.95,1,cabernet sauvignon,2017-08-31_12-45
31,dir1,1,2,2017-08-31_12-45_22179667_12_53.tar.gz,517.35,526.25,1,cabernet sauvignon,2017-08-31_12-45
31,dir1,2,2,2017-08-31_12-45_22179667_12_54.tar.gz,526.3,552.85,1,cabernet sauvignon,2017-08-31_12-45
31,dir2,1,1,2017-08-31_12-45_22179667_12_54.tar.gz,558.8,580,1,cabernet sauvignon,2017-08-31_12-45
33,dir1,1,2,2017-08-31_12-45_22179667_12_54.tar.gz,584.35,586.75,1,cabernet sauvignon,2017-08-31_12-45
33,dir1,2,2,2017-08-31_12-45_22179667_12_55.tar.gz,586.8,620.75,1,cabernet sauvignon,2017-08-31_12-45
33,dir2,1,1,2017-08-31_12-45_22179667_12_55.tar.gz,626.45,646.7,1,cabernet sauvignon,2017-08-31_12-45
35,dir1,1,1,2017-08-31_12-45_22179667_12_56.tar.gz,651.6,683.9,1,cabernet sauvignon,2017-08-31_12-45
35,dir2,1,2,2017-08-31_12-45_22179667_12_56.tar.gz,689.1,706.7,1,cabernet sauvignon,2017-08-31_12-45
35,dir2,2,2,2017-08-31_12-45_22179667_12_57.tar.gz,706.75,707.9,1,cabernet sauvignon,2017-08-31_12-45
37,dir1,1,1,2017-08-31_12-45_22179667_12_57.tar.gz,712.25,755.25,1,cabernet sauvignon,2017-08-31_12-45
37,dir2,1,2,2017-08-31_12-45_22179667_12_57.tar.gz,759.9,766.75,1,cabernet sauvignon,2017-08-31_12-45
