rows,direction,part,of,file,start,end,pass,varietal,scanid
67,dir1,1,2,2017-06-30_10-01_22179677_10_42.tar.gz,2438.7,2474.2,1,cabernet sauvignon,2017-06-30_10-01
67,dir1,2,2,2017-06-30_10-01_22179677_10_43.tar.gz,2474.25,2484.1,1,cabernet sauvignon,2017-06-30_10-01
67,dir2,1,1,2017-06-30_10-01_22179677_10_43.tar.gz,2489.95,2505.85,1,cabernet sauvignon,2017-06-30_10-01
69,dir1,1,2,2017-06-30_10-01_22179677_10_43.tar.gz,2514.75,2534.2,1,cabernet sauvignon,2017-06-30_10-01
69,dir1,2,2,2017-06-30_10-01_22179677_10_44.tar.gz,2534.25,2549.65,1,cabernet sauvignon,2017-06-30_10-01
69,dir2,1,1,2017-06-30_10-01_22179677_10_44.tar.gz,2553.65,2569.7,1,cabernet sauvignon,2017-06-30_10-01
71,dir1,1,2,2017-06-30_10-01_22179677_10_44.tar.gz,2575.2,2594.2,1,cabernet sauvignon,2017-06-30_10-01
71,dir1,2,2,2017-06-30_10-01_22179677_10_45.tar.gz,2594.25,2604.9,1,cabernet sauvignon,2017-06-30_10-01
71,dir2,1,3,2017-06-30_10-01_22179677_10_45.tar.gz,2609,2654.2,1,cabernet sauvignon,2017-06-30_10-01
71,dir2,2,3,2017-06-30_10-01_22179677_10_46.tar.gz,2654.25,2714.2,1,cabernet sauvignon,2017-06-30_10-01
71,dir2,3,3,2017-06-30_10-01_22179677_10_47.tar.gz,2714.25,2746.25,1,cabernet sauvignon,2017-06-30_10-01
