rows,direction,part,of,file,start,end,pass,varietal,scanid
18,dir1,1,2,2017-08-31_14-43_22005521_14_55.tar.gz,5467.6,5469.9,1,cabernet sauvignon,2017-08-31_14-43
18,dir1,2,2,2017-08-31_14-43_22005521_14_56.tar.gz,5469.95,5501.2,1,cabernet sauvignon,2017-08-31_14-43
18,dir2,1,2,2017-08-31_14-43_22005521_14_56.tar.gz,5505.85,5529.9,1,cabernet sauvignon,2017-08-31_14-43
18,dir2,2,2,2017-08-31_14-43_22005521_14_57.tar.gz,5529.95,5535.25,1,cabernet sauvignon,2017-08-31_14-43
20,dir1,1,1,2017-08-31_14-43_22005521_14_57.tar.gz,5539.9,5568.8,1,cabernet sauvignon,2017-08-31_14-43
20,dir2,1,2,2017-08-31_14-43_22005521_14_57.tar.gz,5573.5,5589.9,1,cabernet sauvignon,2017-08-31_14-43
20,dir2,2,2,2017-08-31_14-43_22005521_14_58.tar.gz,5589.95,5599.45,1,cabernet sauvignon,2017-08-31_14-43
22,dir1,1,1,2017-08-31_14-43_22005521_14_58.tar.gz,5604.25,5631.3,1,cabernet sauvignon,2017-08-31_14-43
22,dir2,1,2,2017-08-31_14-43_22005521_14_58.tar.gz,5635.9,5649.85,1,cabernet sauvignon,2017-08-31_14-43
22,dir2,2,2,2017-08-31_14-43_22005521_14_59.tar.gz,5649.9,5659.95,1,cabernet sauvignon,2017-08-31_14-43
24,dir1,1,1,2017-08-31_14-43_22005521_14_59.tar.gz,5665.05,5689.2,1,cabernet sauvignon,2017-08-31_14-43
24,dir2,1,2,2017-08-31_14-43_22005521_14_59.tar.gz,5693.95,5709.85,1,cabernet sauvignon,2017-08-31_14-43
24,dir2,2,2,2017-08-31_14-43_22005521_15_00.tar.gz,5709.9,5712.7,1,cabernet sauvignon,2017-08-31_14-43
26,dir1,1,1,2017-08-31_14-43_22005521_15_00.tar.gz,5717.8,5739.6,1,cabernet sauvignon,2017-08-31_14-43
26,dir2,1,1,2017-08-31_14-43_22005521_15_00.tar.gz,5744.4,5759.75,1,cabernet sauvignon,2017-08-31_14-43
28,dir1,1,2,2017-08-31_14-43_22005521_15_00.tar.gz,5764.8,5769.85,1,cabernet sauvignon,2017-08-31_14-43
28,dir1,2,2,2017-08-31_14-43_22005521_15_01.tar.gz,5769.9,5781.45,1,cabernet sauvignon,2017-08-31_14-43
28,dir2,1,1,2017-08-31_14-43_22005521_15_01.tar.gz,5786.7,5796.35,1,cabernet sauvignon,2017-08-31_14-43
30,dir1,1,1,2017-08-31_14-43_22005521_15_01.tar.gz,5801.95,5814.65,1,cabernet sauvignon,2017-08-31_14-43
